student_id,skill_id,skill_score,topics_known_count
STU036,SK029,3.2,4
STU037,SK025,5.4,4
STU037,SK026,4.2,2
STU037,SK027,4.2,3
STU037,SK028,7.3,4
STU037,SK029,2.5,2
STU038,SK031,8.9,2
STU038,SK032,5.2,2
STU038,SK033,6.9,3
STU038,SK034,8.2,1
STU038,SK035,2.4,3
STU039,SK031,6.5,3
STU039,SK032,5.3,4
STU039,SK033,7.2,4
STU039,SK034,9.1,4
STU039,SK035,5.3,1
STU040,SK036,8.7,3
STU040,SK037,6.5,1
STU040,SK038,2.7,1
STU040,SK039,9.5,3
STU040,SK040,6.3,2
STU041,SK001,5.5,4
STU041,SK002,8.9,2
STU041,SK007,9.5,4
STU041,SK008,6.8,4
STU041,SK010,9.3,4
STU042,SK001,4.6,3
STU042,SK002,4.4,1
STU042,SK007,8.4,3
STU042,SK008,5.1,4
STU042,SK010,4.2,4
STU043,SK001,8.1,1
STU043,SK002,5.4,3
STU043,SK007,3.9,1
STU043,SK008,9.3,4
STU043,SK010,8.5,1
STU044,SK017,6.9,4
STU044,SK018,5.1,2
STU044,SK019,5.9,4
STU044,SK021,6.7,1
STU044,SK022,3.5,2
STU045,SK017,9.0,4
STU045,SK018,8.6,4
STU045,SK019,2.9,2
STU045,SK021,7.3,3
STU045,SK022,6.1,4
STU046,SK025,2.7,1
STU046,SK026,5.5,1
STU046,SK027,6.9,2
STU046,SK028,5.7,3
STU046,SK029,5.8,3
STU047,SK025,5.1,4
STU047,SK026,9.4,2
STU047,SK027,5.4,2
STU047,SK028,4.9,2
STU047,SK029,8.5,3
STU048,SK031,7.8,4
STU048,SK032,4.5,3
STU048,SK033,8.2,3
STU048,SK034,7.4,4
STU048,SK035,8.5,4
STU049,SK031,6.0,3
STU049,SK032,4.5,4
STU049,SK033,5.4,3
STU049,SK034,8.5,2
STU049,SK035,6.3,2
STU050,SK036,8.4,4
STU050,SK037,2.3,4
STU050,SK038,7.3,4
STU050,SK039,4.9,2
STU050,SK040,5.7,1
